Clip #,Source File,Source In (sec),Source Out (sec),Timeline In (sec),Timeline Out (sec),Duration (sec),Source In (TC),Source Out (TC),Timeline In (TC),Timeline Out (TC),Energy,Action,Shot Type,Notes
1,/data/input/TearsOfSteel.mp4,346.54,349.97,0.00,3.43,3.43,00:05:46:13,00:05:49:23,00:00:00:00,00:00:03:10,0.00,medium,medium,
2,/data/input/Sintel.mp4,75.58,79.09,3.43,6.94,3.51,00:01:15:13,00:01:19:02,00:00:03:10,00:00:06:22,0.16,medium,medium,
3,/data/input/TearsOfSteel.mp4,283.08,286.62,6.94,10.47,3.53,00:04:43:01,00:04:46:14,00:00:06:22,00:00:10:11,0.16,medium,medium,
4,/data/input/Sintel.mp4,289.87,293.42,10.47,14.02,3.54,00:04:49:20,00:04:53:10,00:00:10:11,00:00:14:00,0.10,medium,medium,
5,/data/input/TearsOfSteel.mp4,411.96,415.49,14.02,17.55,3.53,00:06:51:22,00:06:55:11,00:00:14:00,00:00:17:13,0.10,medium,medium,
6,/data/input/ElephantsDream.mp4,251.29,254.83,17.55,21.08,3.53,00:04:11:06,00:04:14:19,00:00:17:13,00:00:21:02,0.09,medium,medium,
7,/data/input/TearsOfSteel.mp4,122.46,126.04,21.08,24.67,3.58,00:02:02:10,00:02:06:01,00:00:21:02,00:00:24:16,0.09,medium,medium,
8,/data/input/Sintel.mp4,259.25,262.89,24.67,28.31,3.64,00:04:19:05,00:04:22:21,00:00:24:16,00:00:28:07,0.35,medium,medium,
9,/data/input/TearsOfSteel.mp4,588.08,589.86,28.31,30.09,1.78,00:09:48:02,00:09:49:20,00:00:28:07,00:00:30:02,0.68,medium,medium,
